Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,â˜•â˜•â˜•â˜•ï¸,ğŸ’ªğŸ’ª,ğŸ”ŒğŸ”ŒğŸ”Œ
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,â˜•â˜•â˜•â˜•,ğŸ’ªğŸ’ªğŸ’ª,ğŸ”Œ
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,â˜•â˜•â˜•,âœ˜,ğŸ”Œ
Mare Street Market,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,8AM,1PM,â˜•â˜•,ğŸ’ªğŸ’ªğŸ’ª,ğŸ”ŒğŸ”ŒğŸ”Œ
Los Olmos,https://maps.app.goo.gl/q2VgeQCCdGGrvCN76,10,11,3,5,1
Los Olmos,https://maps.app.goo.gl/q2VgeQCCdGGrvCN76,10,11,2,4,4

hellio,http://example.com,10AM,12AM,2,3,4
jjx,http://example.com,10AM,8AM,3,4,4
jjghh,http://example.com,10AM,8AM,3,4,4
duedd,http://example.com,10AM,8AM,3,3,4
hhjjjj,http://yhhhfdh.com,5,9,2,4,4
